,screen,pattern,filter_type,filter_width,slits_dist
295,-8.525,0.014170248280172892,Rectangular,10,4.0
296,-8.52,0.014114688252850087,Rectangular,10,4.0
297,-8.515,0.014057664157549202,Rectangular,10,4.0
298,-8.51,0.013999273290150532,Rectangular,10,4.0
299,-8.504999999999999,0.013939616548468715,Rectangular,10,4.0
300,-8.5,0.013878797019684686,Rectangular,10,4.0
301,-8.495,0.013816919264170462,Rectangular,10,4.0
302,-8.49,0.013754094961467187,Rectangular,10,4.0
303,-8.485,0.013690430290572028,Rectangular,10,4.0
304,-8.48,0.013626039510618151,Rectangular,10,4.0
305,-8.475,0.01356103680884478,Rectangular,10,4.0
306,-8.47,0.013495540665128904,Rectangular,10,4.0
307,-8.465,0.013429669372381861,Rectangular,10,4.0
308,-8.46,0.013363554547632963,Rectangular,10,4.0
309,-8.455,0.013297317439318508,Rectangular,10,4.0
310,-8.45,0.013231089399496711,Rectangular,10,4.0
311,-8.445,0.013164998145671816,Rectangular,10,4.0
312,-8.44,0.013099169707654094,Rectangular,10,4.0
313,-8.435,0.0130337432224581,Rectangular,10,4.0
314,-8.43,0.012968853969111032,Rectangular,10,4.0
315,-8.425,0.012904635560176419,Rectangular,10,4.0
316,-8.42,0.012841224005222323,Rectangular,10,4.0
317,-8.415,0.012778767770512206,Rectangular,10,4.0
318,-8.41,0.012717404574541333,Rectangular,10,4.0
319,-8.405,0.012657283875124969,Rectangular,10,4.0
320,-8.4,0.012598548485660053,Rectangular,10,4.0
321,-8.395,0.012541348730080488,Rectangular,10,4.0
322,-8.39,0.012485829693280324,Rectangular,10,4.0
323,-8.385,0.012432138770803071,Rectangular,10,4.0
324,-8.379999999999999,0.012380422935679668,Rectangular,10,4.0
325,-8.375,0.012330832726551725,Rectangular,10,4.0
326,-8.37,0.01228352140991206,Rectangular,10,4.0
327,-8.365,0.012238640178915232,Rectangular,10,4.0
328,-8.36,0.012196341793682338,Rectangular,10,4.0
329,-8.355,0.012156782763937012,Rectangular,10,4.0
330,-8.35,0.012120113518313394,Rectangular,10,4.0
331,-8.345,0.012086488578263962,Rectangular,10,4.0
332,-8.34,0.012056060752584264,Rectangular,10,4.0
333,-8.335,0.012028982788170415,Rectangular,10,4.0
334,-8.33,0.012005408943058868,Rectangular,10,4.0
335,-8.325,0.011985492366617707,Rectangular,10,4.0
336,-8.32,0.011969384410759676,Rectangular,10,4.0
337,-8.315,0.011957235937026744,Rectangular,10,4.0
338,-8.31,0.011949202527664921,Rectangular,10,4.0
339,-8.305,0.011945432934698642,Rectangular,10,4.0
340,-8.3,0.01194607610818425,Rectangular,10,4.0
341,-8.295,0.01195128196331725,Rectangular,10,4.0
342,-8.29,0.011961199611941418,Rectangular,10,4.0
343,-8.285,0.011975969726850107,Rectangular,10,4.0
344,-8.28,0.011995739920639644,Rectangular,10,4.0
345,-8.275,0.0120206551954293,Rectangular,10,4.0
346,-8.27,0.012050855175186047,Rectangular,10,4.0
347,-8.265,0.012086482868110706,Rectangular,10,4.0
348,-8.26,0.012127675516071391,Rectangular,10,4.0
349,-8.254999999999999,0.012174567544459317,Rectangular,10,4.0
350,-8.25,0.012227293133299382,Rectangular,10,4.0
351,-8.245,0.012285982199836183,Rectangular,10,4.0
352,-8.24,0.012350765973604346,Rectangular,10,4.0
353,-8.235,0.012421767494643219,Rectangular,10,4.0
354,-8.23,0.012499113187511554,Rectangular,10,4.0
355,-8.225,0.012582921957376243,Rectangular,10,4.0
356,-8.22,0.012673314007081049,Rectangular,10,4.0
357,-8.215,0.012770403940423843,Rectangular,10,4.0
358,-8.21,0.012874300760117462,Rectangular,10,4.0
359,-8.205,0.012985118962904323,Rectangular,10,4.0
360,-8.2,0.013102960145643978,Rectangular,10,4.0
361,-8.195,0.013227923518133494,Rectangular,10,4.0
362,-8.19,0.01336011103530547,Rectangular,10,4.0
363,-8.185,0.013499615093484695,Rectangular,10,4.0
364,-8.18,0.013646522451652604,Rectangular,10,4.0
365,-8.175,0.013800924172272414,Rectangular,10,4.0
366,-8.17,0.013962900115309797,Rectangular,10,4.0
367,-8.165,0.014132525323365574,Rectangular,10,4.0
368,-8.16,0.014309877210710302,Rectangular,10,4.0
369,-8.155,0.014495021689697338,Rectangular,10,4.0
370,-8.15,0.014688023937034504,Rectangular,10,4.0
371,-8.145,0.014888947374317089,Rectangular,10,4.0
372,-8.14,0.015097845710382689,Rectangular,10,4.0
373,-8.135,0.015314770866773618,Rectangular,10,4.0
374,-8.129999999999999,0.015539766384317226,Rectangular,10,4.0
375,-8.125,0.015772871518953516,Rectangular,10,4.0
376,-8.12,0.016014122628257722,Rectangular,10,4.0
377,-8.115,0.016263551860359163,Rectangular,10,4.0
378,-8.11,0.016521183615639153,Rectangular,10,4.0
379,-8.105,0.01678703625888848,Rectangular,10,4.0
380,-8.1,0.017061127343337316,Rectangular,10,4.0
381,-8.095,0.01734346308666461,Rectangular,10,4.0
382,-8.09,0.017634046147355614,Rectangular,10,4.0
383,-8.085,0.017932878032058886,Rectangular,10,4.0
384,-8.08,0.018239950182561925,Rectangular,10,4.0
385,-8.075,0.018555250702124434,Rectangular,10,4.0
386,-8.07,0.018878760985590902,Rectangular,10,4.0
387,-8.065,0.019210450069449818,Rectangular,10,4.0
388,-8.06,0.019550294579986284,Rectangular,10,4.0
389,-8.055,0.019898255733001476,Rectangular,10,4.0
390,-8.05,0.020254292329071586,Rectangular,10,4.0
391,-8.045,0.020618357427808705,Rectangular,10,4.0
392,-8.04,0.020990394379138553,Rectangular,10,4.0
393,-8.035,0.02137034603601596,Rectangular,10,4.0
394,-8.03,0.02175814723227856,Rectangular,10,4.0
395,-8.025,0.022153722708174936,Rectangular,10,4.0
396,-8.02,0.02255699206660921,Rectangular,10,4.0
397,-8.015,0.022967880361012785,Rectangular,10,4.0
398,-8.01,0.02338629524574774,Rectangular,10,4.0
399,-8.004999999999999,0.023812145333032653,Rectangular,10,4.0
400,-8.0,0.02424532559917701,Rectangular,10,4.0
401,-7.995,0.02468573018828726,Rectangular,10,4.0
402,-7.99,0.025133242845111013,Rectangular,10,4.0
403,-7.984999999999999,0.025587744398001593,Rectangular,10,4.0
404,-7.98,0.026049108500510367,Rectangular,10,4.0
405,-7.975,0.02651720811205533,Rectangular,10,4.0
406,-7.97,0.026991906956010985,Rectangular,10,4.0
407,-7.965,0.027473061716915353,Rectangular,10,4.0
408,-7.96,0.027960526521190365,Rectangular,10,4.0
409,-7.955,0.028454152100799896,Rectangular,10,4.0
410,-7.95,0.028953777046703502,Rectangular,10,4.0
411,-7.945,0.02945923845844989,Rectangular,10,4.0
412,-7.939999999999999,0.029970363792755736,Rectangular,10,4.0
413,-7.935,0.030486973099613623,Rectangular,10,4.0
414,-7.93,0.03100889400079197,Rectangular,10,4.0
415,-7.925,0.031535937534951854,Rectangular,10,4.0
416,-7.92,0.032067915689686574,Rectangular,10,4.0
417,-7.915,0.03260462817517198,Rectangular,10,4.0
418,-7.91,0.03314588343638139,Rectangular,10,4.0
419,-7.904999999999999,0.033691475266338346,Rectangular,10,4.0
420,-7.9,0.03424119089767467,Rectangular,10,4.0
421,-7.895,0.034794816919231475,Rectangular,10,4.0
422,-7.890000000000001,0.03535213623960515,Rectangular,10,4.0
423,-7.885,0.03591291392327215,Rectangular,10,4.0
424,-7.88,0.03647693148510975,Rectangular,10,4.0
425,-7.875,0.037043958641252206,Rectangular,10,4.0
426,-7.87,0.03761375831916483,Rectangular,10,4.0
427,-7.865,0.038186093005781595,Rectangular,10,4.0
428,-7.859999999999999,0.038760718612582234,Rectangular,10,4.0
429,-7.855,0.039337395187988615,Rectangular,10,4.0
430,-7.85,0.03991586486005683,Rectangular,10,4.0
431,-7.845,0.040495877760764624,Rectangular,10,4.0
432,-7.84,0.04107718035241127,Rectangular,10,4.0
433,-7.835,0.04165950117598833,Rectangular,10,4.0
434,-7.83,0.0422425893043282,Rectangular,10,4.0
435,-7.824999999999999,0.04282617664773345,Rectangular,10,4.0
436,-7.82,0.04340999513977938,Rectangular,10,4.0
437,-7.814999999999999,0.043993780257115145,Rectangular,10,4.0
438,-7.81,0.04457725567888669,Rectangular,10,4.0
439,-7.805,0.045160157172173504,Rectangular,10,4.0
440,-7.8,0.04574220291609068,Rectangular,10,4.0
441,-7.795,0.04632310996477437,Rectangular,10,4.0
442,-7.79,0.04690261441427279,Rectangular,10,4.0
443,-7.785,0.047480427750275805,Rectangular,10,4.0
444,-7.779999999999999,0.04805626680908829,Rectangular,10,4.0
445,-7.775,0.04862985847664798,Rectangular,10,4.0
446,-7.77,0.049200913787230995,Rectangular,10,4.0
447,-7.765000000000001,0.049769146173298244,Rectangular,10,4.0
448,-7.76,0.050334280417619004,Rectangular,10,4.0
449,-7.755,0.05089603187484156,Rectangular,10,4.0
